OrphaCode,curie,label,descendent_OrphaCode,descendent_Name,genes_curie,genes_gene_symbol,genes_association_type,DisorderGeneAssociationStatus
2162,GARD:0006665,Holoprosencephaly,93924,Lobar holoprosencephaly,HGNC:9585,PTCH1,Disease-causing germline mutation(s) in,Assessed
79373,GARD:0006317,Ectodermal dysplasia,33364,Trichothiodystrophy,HGNC:16002,MPLKIP,Disease-causing germline mutation(s) in,Assessed
97245,GARD:0005898,Myopathy congenital,324604,Classic multiminicore myopathy,HGNC:12403,TTN,Disease-causing germline mutation(s) (loss of function) in,Assessed
2913,GARD:0004410,Polydactyly,93334,Postaxial polydactyly type A,HGNC:12926,ZNF141,Disease-causing germline mutation(s) in,Assessed
137,GARD:0010307,Congenital disorders of glycosylation,247262,Hyperphosphatasia-intellectual disability syndrome,HGNC:17893,PGAP2,Disease-causing germline mutation(s) in,Assessed
2162,GARD:0006665,Holoprosencephaly,280195,Septopreoptic holoprosencephaly,HGNC:9585,PTCH1,Disease-causing germline mutation(s) in,Assessed
86851,GARD:0008638,Acute leukemia of ambiguous lineage,589595,Mixed phenotype acute leukemia with t(v;11q23.3),HGNC:3765,FLT3,Disease-causing somatic mutation(s) in,Assessed
418,GARD:0001467,Congenital adrenal hyperplasia,325529,Non-classic congenital lipoid adrenal hyperplasia due to STAR deficency,HGNC:11359,STAR,Disease-causing germline mutation(s) (loss of function) in,Assessed
98722,GARD:0000802,Atrioventricular septal defect,576232,Partial atrioventricular septal defect with ventricular hypoplasia,HGNC:4173,GATA4,Disease-causing germline mutation(s) (loss of function) in,Assessed
52688,GARD:0007132,Myelodysplastic syndromes,98826,Refractory anemia,HGNC:25941,TET2,Disease-causing somatic mutation(s) in,Assessed
519,GARD:0012757,Acute myeloid leukemia ,402023,Megakaryoblastic acute myeloid leukemia with t(1;22)(p13;q13),HGNC:14959,RBM15,Part of a fusion gene in,Assessed
68356,GARD:0006895,Leukodystrophy,99854,Cree leukoencephalopathy,HGNC:3258,EIF2B2,Disease-causing germline mutation(s) in,Assessed
823,GARD:0007673,Spina bifida,268377,Total spina bifida aperta,HGNC:26219,FUZ,Disease-causing germline mutation(s) in,Assessed
183660,GARD:0007628,Severe combined immunodeficiency,504523,Severe combined immunodeficiency due to LAT deficiency,HGNC:18874,LAT,Disease-causing germline mutation(s) in,Assessed
2162,GARD:0006665,Holoprosencephaly,93926,Midline interhemispheric variant of holoprosencephaly,HGNC:11776,TGIF1,Disease-causing germline mutation(s) in,Assessed
289899,GARD:0009433,Organic acidemias,289916,Vitamin B12-unresponsive methylmalonic acidemia type mut0,HGNC:7526,MMUT,Disease-causing germline mutation(s) (loss of function) in,Assessed
3394,GARD:0004898,Soft tissue sarcoma,79105,Myxofibrosarcoma,HGNC:4010,FUS,Part of a fusion gene in,Assessed
207015,GARD:0012733,Rare hereditary disease with peripheral neuropathy,309256,"Metachromatic leukodystrophy, late infantile form",HGNC:713,ARSA,Disease-causing germline mutation(s) (loss of function) in,Assessed
289899,GARD:0009433,Organic acidemias,314911,Severe Canavan disease,HGNC:756,ASPA,Disease-causing germline mutation(s) (loss of function) in,Assessed
86851,GARD:0008638,Acute leukemia of ambiguous lineage,98835,Acute undifferentiated leukemia,HGNC:7132,KMT2A,Part of a fusion gene in,Assessed
411709,GARD:0009228,Renal agenesis,93100,"Renal agenesis, unilateral",HGNC:9967,RET,Disease-causing germline mutation(s) in,Assessed
487,GARD:0006844,Krabbe disease,206436,Infantile Krabbe disease,HGNC:4115,GALC,Disease-causing germline mutation(s) in,Assessed
79225,GARD:0007672,Sphingolipidosis,206443,Late-infantile/juvenile Krabbe disease,HGNC:4115,GALC,Disease-causing germline mutation(s) in,Assessed
98085,GARD:0008538,"46, XY disorders of sexual development",251510,"46,XY partial gonadal dysgenesis",HGNC:4173,GATA4,Disease-causing germline mutation(s) (loss of function) in,Assessed
319276,GARD:0009574,Clear cell renal cell carcinoma,404511,Clear cell papillary renal cell carcinoma,HGNC:26038,TMEM127,Major susceptibility factor in,Assessed
263,GARD:0006907,Limb-girdle muscular dystrophy,445110,Limb-girdle muscular dystrophy due to POMK deficiency,HGNC:26267,POMK,Disease-causing germline mutation(s) (loss of function) in,Assessed
513,GARD:0000522,Acute lymphoblastic leukemia,585877,B-lymphoblastic leukemia/lymphoma with recurrent genetic abnormality,HGNC:1787,CDKN2A,Disease-causing somatic mutation(s) in,Assessed
367,GARD:0002520,Glycogen storage disease type 4,308684,"Glycogen storage disease due to glycogen branching enzyme deficiency, childhood combined hepatic and myopathic form",HGNC:4180,GBE1,Disease-causing germline mutation(s) in,Assessed
519,GARD:0012757,Acute myeloid leukemia ,402014,Acute myeloid leukemia with t(6;9)(p23;q34),HGNC:2768,DEK,Part of a fusion gene in,Assessed
823,GARD:0007673,Spina bifida,268758,Lumbosacral spina bifida cystica,HGNC:15511,VANGL2,Major susceptibility factor in,Assessed
823,GARD:0007673,Spina bifida,268397,Cervicothoracic spina bifida aperta,HGNC:15511,VANGL2,Major susceptibility factor in,Assessed
