@id,OrphaCode,curie,label,genes_Id,genes_curie,genes_source_curie,genes_source_label,genes_gene_symbol,genes_association_type,genes_source_validation,genes_gene_sfdc_id
12553,94083,GARD:0004235,Partington syndrome,a0ht000000AYe0IAAT,HGNC:18060,ORPHA:94083,,ARX,Disease-causing germline mutation(s) in,Assessed,
8659,867,GARD:0010867,Familial multiple trichoepithelioma,,HGNC:2584,ORPHA:867,,CYLD,Disease-causing germline mutation(s) in,Assessed,
10417,36355,GARD:0012478,Bleeding disorder due to P2RY12 defect,a0ht000000AYfRwAAL,HGNC:18124,ORPHA:36355,,P2RY12,Disease-causing germline mutation(s) in,Assessed,
14757,101046,GARD:0002257,Autosomal dominant partial epilepsy with auditory features,a0ht000000AYdrNAAT,HGNC:9957,ORPHA:101046,,RELN,Disease-causing germline mutation(s) in,Assessed,
703,117,GARD:0000848,Beh̤et disease,a0ht000000AYdzYAAT,HGNC:6377,ORPHA:117,,KLRC4,Major susceptibility factor in,Assessed,
19621,251287,GARD:0009887,"Macular dystrophy, concentric annular",,HGNC:6055,ORPHA:251287,,IMPG1,Disease-causing germline mutation(s) in,Assessed,
63,550,GARD:0007009,Mitochondrial encephalomyopathy lactic acidosis and stroke-like episodes,a0ht000000AYeqiAAD,HGNC:7487,ORPHA:550,,MT-TH,Candidate gene tested in,Not yet assessed,
1534,1300,GARD:0003242,Popliteal pterygium syndrome,a0ht000000AYeJCAA1,HGNC:6121,ORPHA:1300,,IRF6,Disease-causing germline mutation(s) in,Assessed,
236,774,GARD:0010615,Hereditary hemorrhagic telangiectasia type 4,a0ht000000AYemQAAT,HGNC:175,ORPHA:774,,ACVRL1,Disease-causing germline mutation(s) in,Assessed,
913,403,GARD:0002790,Glucocorticoid-remediable aldosteronism,a0ht000000AYeFYAA1,HGNC:2592,ORPHA:403,,CYP11B2,Part of a fusion gene in,Assessed,
10889,66631,GARD:0009940,"Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome",a0ht000000AYfJNAA1,HGNC:11133,ORPHA:66631,,SNAP29,Disease-causing germline mutation(s) (loss of function) in,Assessed,
14011,98994,GARD:0001159,"Cataract, total congenital",a0ht000000AYe2nAAD,HGNC:21869,ORPHA:98994,,AGK,Disease-causing germline mutation(s) in,Assessed,
14011,98994,GARD:0001159,"Cataract, total congenital",a0ht000000AYe2iAAD,HGNC:7103,ORPHA:98994,,MIP,Disease-causing germline mutation(s) in,Assessed,
17948,171876,GARD:0004552,Autosomal recessive pseudohypoaldosteronism type 1,a0ht000000AYe4fAAD,HGNC:10599,ORPHA:171876,,SCNN1A,Disease-causing germline mutation(s) (loss of function) in,Assessed,
8726,588,GARD:0000156,Muscle eye brain disease,a0ht000000AYdpeAAD,HGNC:3622,ORPHA:588,,FKTN,Disease-causing germline mutation(s) in,Assessed,
11527,79501,GARD:0003103,Punctate palmoplantar keratoderma type I,a0ht000000AYdyGAAT,HGNC:25662,ORPHA:79501,,AAGAB,Disease-causing germline mutation(s) (loss of function) in,Assessed,
10423,36386,GARD:0006635,Hereditary sensory neuropathy type 1,a0ht000000AYemdAAD,HGNC:11277,ORPHA:36386,,SPTLC1,Disease-causing germline mutation(s) in,Assessed,
13851,98834,GARD:0000527,Acute myeloblastic leukemia with maturation,a0ht000000AYdvuAAD,HGNC:6342,ORPHA:98834,,KIT,Disease-causing somatic mutation(s) in,Not yet assessed,
10735,53690,GARD:0012311,Congenital lactase deficiency,a0ht000000AYfCyAAL,HGNC:6530,ORPHA:53690,,LCT,Disease-causing germline mutation(s) in,Assessed,
